,sexo,idade,habilit,p1,p2,p3,p4,p5a,p5b,p5c,p5d,p5e,p5f,p5g,p5h,p5i,p5j,p5k,pb,pc,pd,pe
77,feminino,32.0,até ensino secundário,Sol,60.0,Ler algumas secções,7.0,3,3,4,5,3,3,4,3,4,4,3,diários e semanários,2.0,70.0,correio da manhã
78,feminino,28.0,até ensino secundário,Sol,60.0,Dar uma vista de olhos,4.0,4,4,4,5,2,4,3,3,2,3,3,diários e semanários,1.0,60.0,diário de notícias
79,feminino,,ensino médio e superior,Sol,45.0,Ler algumas secções,9.0,4,4,4,4,3,3,3,5,5,5,3,diários e semanários,14.0,50.0,diário de notícias
80,feminino,28.0,ensino médio e superior,Sol,60.0,Ler algumas secções,9.0,5,5,3,5,5,4,4,3,4,4,2,diários e semanários,12.0,70.0,diário de notícias
81,feminino,,ensino médio e superior,Sol,75.0,Ler algumas secções,8.0,5,5,5,5,5,5,4,5,5,5,5,diários e semanários,9.0,90.0,diário de notícias
82,feminino,,ensino médio e superior,Sol,75.0,Ler algumas secções,8.0,5,5,5,5,3,3,4,5,5,5,5,diários e semanários,9.0,90.0,diário de notícias
83,feminino,29.0,ensino médio e superior,Sol,30.0,Ler algumas secções,6.0,3,5,3,3,4,3,4,3,3,4,4,diários e semanários,5.0,40.0,público
84,feminino,32.0,ensino médio e superior,Sol,60.0,Ler tudo com atenção,6.0,4,4,3,3,4,4,4,4,3,3,4,diários e semanários,7.0,70.0,público
85,feminino,40.0,ensino médio e superior,Sol,90.0,Ler algumas secções,6.0,4,4,3,3,4,5,4,3,4,4,3,diários e semanários,6.0,100.0,a capital
86,feminino,35.0,ensino médio e superior,Sol,45.0,Ler tudo com atenção,5.0,5,5,5,3,2,3,5,5,5,5,5,diários e semanários,3.0,55.0,a capital
87,feminino,29.0,ensino médio e superior,Sol,30.0,Ler algumas secções,5.0,4,4,5,4,3,4,3,5,1,4,5,diários e semanários,10.0,30.0,a capital
88,feminino,40.0,ensino médio e superior,Sol,90.0,Dar uma vista de olhos,3.0,5,5,4,3,3,5,4,2,4,3,2,diários e semanários,17.0,100.0,correio da manhã
89,feminino,35.0,ensino médio e superior,Sol,45.0,Ler algumas secções,3.0,3,4,4,3,3,3,3,4,4,4,3,diários e semanários,9.0,55.0,outro
90,masculino,29.0,até ensino secundário,Sol,45.0,Ler algumas secções,10.0,5,4,4,5,4,5,5,4,5,5,5,diários e semanários,10.0,50.0,público
91,masculino,25.0,até ensino secundário,Sol,30.0,Ler algumas secções,9.0,5,4,5,5,3,5,3,4,5,3,3,diários e semanários,9.0,35.0,diário de notícias
92,masculino,44.0,até ensino secundário,Sol,45.0,Ler algumas secções,8.0,4,4,4,5,5,3,4,5,5,5,5,diários e semanários,15.0,50.0,diário de notícias
93,masculino,48.0,até ensino secundário,Sol,60.0,Dar uma vista de olhos,7.0,4,4,4,4,5,4,4,5,5,5,4,diários e semanários,11.0,70.0,diário de notícias
94,masculino,41.0,até ensino secundário,Sol,60.0,Ler algumas secções,6.0,4,4,4,4,4,3,4,5,5,3,3,diários e semanários,15.0,75.0,correio da manhã
95,masculino,33.0,até ensino secundário,Sol,60.0,Ler tudo com atenção,5.0,5,5,5,5,5,5,5,5,5,5,5,diários e semanários,5.0,60.0,diário de notícias
96,masculino,31.0,até ensino secundário,Sol,60.0,Ler tudo com atenção,5.0,5,5,1,5,2,5,5,3,5,5,2,diários e semanários,6.0,75.0,diário de notícias
97,masculino,25.0,ensino médio e superior,Sol,30.0,Ler tudo com atenção,12.0,4,5,4,5,5,5,4,5,4,5,5,diários e semanários,4.0,35.0,a capital
98,masculino,28.0,ensino médio e superior,Sol,90.0,Ler algumas secções,6.0,4,3,3,4,4,5,5,4,5,4,3,diários e semanários,12.0,130.0,diário de notícias
99,masculino,28.0,,Sol,90.0,Ler algumas secções,6.0,3,4,4,4,4,4,4,4,4,4,4,diários e semanários,5.0,100.0,diário de notícias
