attempt,mape,r2,training duration
1,21.26042840306838,0.5459982349233439,9.397927045822144
2,21.267751722530775,0.5522168522703251,8.9393949508667
3,21.268120720132337,0.545929376738594,10.050388813018799
4,21.204751084994538,0.5519519490584857,10.632147789001465
5,21.165227214256948,0.5376272823631092,10.606000900268555
6,21.195571678649742,0.5485302560697891,10.607507944107056
7,21.285644063838262,0.5527337437885071,8.39662504196167
8,21.174799948475542,0.5461823988827776,18.88657784461975
9,21.178919048969952,0.5433724539729103,9.56223177909851
10,21.438705916860012,0.544060007011298,16.216933250427246
11,21.212557124499888,0.5446123327069694,19.21626377105713
12,21.258416539163306,0.5523171522257188,15.868494749069214
13,21.290518488318426,0.542414742819256,11.23644208908081
14,21.50383367238827,0.5536037589550498,11.223051071166992
15,21.262120810356013,0.5447880534899965,10.994447946548462
16,21.241513734384814,0.5484112419992025,12.056351900100708
17,21.25528099963649,0.5514788952038101,11.22631287574768
18,21.298314799373188,0.552731230466921,9.748997211456299
19,21.16641591261011,0.5504803125584314,10.577249765396118
20,21.21776830038464,0.5454765011370866,9.546755075454712
21,21.183335869839258,0.5460843616755573,12.526753187179565
22,21.31781182345318,0.5457432502873952,10.240175008773804
23,21.182465828209672,0.543502921106849,12.682384252548218
24,21.23386465482091,0.5364567222704231,13.445067882537842
25,21.205709660763024,0.5468927431613584,12.656111001968384
26,21.274862724201576,0.5423259631444843,19.273662090301514
27,21.235356836938575,0.5489790264933818,11.51523208618164
28,21.208307180853854,0.5449525457666033,14.90473985671997
29,21.214264099146966,0.5441584575605585,12.052538871765137
30,21.147829224048976,0.5392102552398264,14.210625648498535
31,21.210474943132947,0.5475052174576125,14.803920030593872
32,21.278272256787858,0.5526813349989939,9.881894826889038
33,21.24149655451708,0.5509863867228776,10.681742191314697
34,21.39632120709298,0.5529090451869254,9.806217908859253
35,21.234280790677758,0.5498168132983181,11.03883409500122
36,21.456252711531988,0.5437866564491824,14.038594007492065
37,21.244206203115844,0.5501549554934457,9.930684804916382
38,21.160080319519125,0.5460827363486269,11.02504301071167
39,21.344126521100605,0.5515430235247047,11.198042154312134
40,21.263829612189067,0.5436769886294939,13.578026056289673
41,21.381912567004566,0.553213633323347,10.328305959701538
42,21.279107050088317,0.5456336761606244,13.26529574394226
43,21.25709545677123,0.5514595516365146,12.799944162368774
44,21.13268709011945,0.5489624613698574,21.18019390106201
45,21.238540574824963,0.5514946552964635,13.24671196937561
46,21.43034328480701,0.5276607342879487,10.424928903579712
47,21.35131987471787,0.5529737180831181,9.444147825241089
48,21.366199489401392,0.5463010579555467,9.656150102615356
49,21.175959033671905,0.5373543606150195,13.871847867965698
50,21.235980707649833,0.5417603500755847,11.247945785522461
51,21.297491147082706,0.5296178181068651,15.31049394607544
52,21.186466707812603,0.5513260625556584,10.285104990005493
53,21.248457287153016,0.5333443994198614,14.459414005279541
54,21.238123503944927,0.5474389227162219,12.203309059143066
55,21.267886798102534,0.5301991620549924,17.56801700592041
56,21.45184586006375,0.5494572789575606,10.103400945663452
57,21.04789445267911,0.5495920351302165,20.698018074035645
58,21.275763838447713,0.5423216049065447,18.843714952468872
59,21.45634386676398,0.5534099912620383,10.750402927398682
60,21.51814218825096,0.5477834676380914,10.35239577293396
