attempt,mape,r2,training duration
1,0.1905637571903426,0.5092529493060928,1.1802949905395508
2,0.07364899050372704,0.9523756698558821,1.0457086563110352
3,0.093913124577475,0.9161373908122983,0.7088589668273926
4,0.20550417449783268,0.4364570560214984,1.454908847808838
5,0.06494122302085006,0.9632602345935557,1.4170019626617432
6,0.06850373159418231,0.9599266083839797,1.1643829345703125
7,0.12736315034611656,0.8182244017536255,1.2784020900726318
8,0.26550560695624703,-0.01588164665498759,0.9459657669067383
9,0.19195047894099174,0.5115725040388336,0.855457067489624
10,0.11160808382689194,0.8684271218725153,1.2583529949188232
11,0.22870968320902899,0.22298761063091177,1.365023136138916
12,0.06396979218358509,0.9630763701809233,1.0162239074707031
13,0.2141466357768262,0.3535913352217911,1.1198360919952393
14,0.1297543613409545,0.8099661493732232,0.9679570198059082
15,0.08899504848715978,0.9310785861592522,1.4363720417022705
16,0.20049379868187714,0.4570021477950861,1.2808759212493896
17,0.23286338783357666,0.2553394583347146,1.4824609756469727
18,0.1957411904946986,0.49016621045199715,1.3398380279541016
19,0.0720595294253748,0.9550282851644551,1.1527817249298096
20,0.10929566937091927,0.8836290381347076,0.8858087062835693
21,0.12685836540201428,0.8278515370136988,1.3810498714447021
22,0.1054558592830586,0.8953573475288057,1.2267038822174072
23,0.1024592538464526,0.8985975765598484,1.2289700508117676
24,0.22809069778531765,0.24966168335712424,1.5572600364685059
25,0.1799763782982574,0.5850453606072126,1.2993760108947754
26,0.3412535633013253,-0.7843454739750528,1.3569140434265137
27,0.20517301526451384,0.3991551238040073,1.3413159847259521
28,0.130860008822692,0.797516879655741,0.7117602825164795
29,0.2935654054917962,-0.28295794405982777,0.8949110507965088
30,0.10190072094243596,0.9030264951885184,1.429549217224121
31,0.09975751274400185,0.9056609364691912,1.2878379821777344
32,0.22222945178483075,0.33441929866745945,0.9234843254089355
33,0.1390539398864471,0.7632425061525371,1.1171536445617676
34,0.20878519055629569,0.4188026408800136,1.465810775756836
35,0.1331145235400546,0.7938927422925494,1.400650978088379
36,0.1023145649419397,0.8906398536503577,1.3740551471710205
37,0.23351523657143733,0.2479738004946569,1.2824881076812744
38,0.06466409242026704,0.963479833402149,0.9760868549346924
39,0.11475211051101965,0.8699103433700967,1.4214582443237305
40,0.14909704109449456,0.7399267228486366,0.7122786045074463
41,0.20080455376033748,0.45978668028532077,1.5114448070526123
42,0.17817302678304767,0.5958400540763229,1.320399284362793
43,0.12214207553952165,0.8437637238397677,1.3141999244689941
44,0.07995185355268761,0.9429708293878827,1.3578720092773438
45,0.25849129308433044,0.007729263581454204,1.1626710891723633
46,0.07933485978053019,0.9456840986336618,1.1129989624023438
47,0.06380114471031033,0.9635310361371389,1.355532169342041
48,0.2627970727130781,-0.04832376244819514,1.3156027793884277
49,0.07604687703771153,0.9505085858271571,1.036545753479004
50,0.08237291494998673,0.9425906090707439,1.117966890335083
51,0.16447863520369885,0.6774087100355732,0.9112598896026611
52,0.0844844904252614,0.9341353538767148,1.2013208866119385
53,0.15988476927017012,0.6623567229837384,1.1578302383422852
54,0.11302714490909005,0.8704701611923438,1.4529719352722168
55,0.19845989767211372,0.46078324738815557,1.6440188884735107
56,0.10720051447125213,0.8795545149362315,1.3235862255096436
57,0.12065350012756805,0.8440891068545229,1.1720149517059326
58,0.22768441988219631,0.2561375464819081,1.4236509799957275
59,0.13197350367214514,0.8140097562163138,1.2855761051177979
60,0.11812198838103996,0.8540243883909466,1.037336826324463
