Data e Hora,producao_total,producao_renovavel,hidrica,eolica,solar,ondas,biomassa,producao_nao_renovavel,carvao,gas_natural,termica,producao_por_bombagem,importacao,exportacao
2011-02-05,151.087302,64.562302,54.051307,2.440337,0.716337,0.0,7.354321,86.525,30.6712,53.290213,2.563587,0.0,0.4777,5.7422
2011-02-06,144.590533,59.962901,47.687117,4.278414,0.698246,0.0,7.299125,83.64531,28.4291,53.635901,1.580309,0.982323,0.0928,8.5484
2011-02-07,176.058919,69.015027,53.425408000000004,8.313512,0.646795,0.0,6.629311,106.397975,35.7353,65.944182,4.718494,0.645917,3.5782,18.7262
2011-02-08,194.941351,90.63398,48.829319999999996,34.90879,0.400601,0.0,6.495269,104.275849,32.8118,66.556491,4.907558,0.031522,0.0,29.9569
2011-02-09,186.299792,89.130364,45.579637,37.182317,0.288761,0.0,6.079649,96.62532,29.1343,62.722019,4.769001,0.544108,0.2406,23.0872
2011-02-10,167.498161,68.363312,40.894479,20.538675,0.519333,0.0,6.410825,99.134849,32.9837,61.665276,4.485873,0.0,3.2599,13.1652
2011-02-11,170.973784,86.452477,45.669996,32.974102,0.657727,0.0,7.150652,84.49789,30.0458,49.885832,4.566258,0.023417,4.4403,16.1727
2011-02-12,151.683903,55.114197,38.858241,8.283925,0.681999,0.0,7.290032,96.342951,41.3084,52.513901,2.52065,0.226755,1.7006,14.0379
2011-02-13,150.323777,90.425995,26.064475,56.932101,0.14699,0.0,7.282428,58.614504,16.068,40.97237,1.574133,1.283278,2.235,13.3823
2011-02-14,162.656992,88.310183,36.064683,44.759084,0.247169,0.0,7.239248,72.126259,19.3166,48.240148,4.569512,2.220549,9.1976,3.942
2011-02-15,168.434572,94.935912,38.835546,49.25951,0.304274,0.0,6.536581,71.006186,20.5172,45.799746,4.68924,2.492474,11.0006,10.2113
2011-02-16,165.559451,112.049224,42.278062,63.647783,0.226377,0.0,5.897002,51.612251,8.4282,38.851319,4.332732,1.897976,7.5715,2.5782
2011-02-17,173.899955,116.237356,53.714719,56.437018,0.582567,0.0,5.503053,56.913195,9.9974,42.458418,4.457377,0.749404,2.4433,8.277
2011-02-18,174.246392,99.414619,61.826142000000004,31.95252,0.348821,0.0,5.287136,74.255673,15.6028,54.238821,4.414053,0.5761,7.5997,14.6185
2011-02-19,168.506615,90.663893,71.067933,14.386696,0.160042,0.0,5.049222,77.743829,16.9733,58.420963,2.349566,0.098893,0.0,25.3053
2011-02-20,141.469633,98.899385,55.051905,38.175276,0.482237,0.0,5.189967,41.889685,11.6195,28.759744,1.510441,0.680563,2.0269,9.3307
2011-02-21,157.332628,103.522373,46.671559,51.286485,0.468424,0.0,5.095905,53.015996,16.2988,32.283871,4.433325,0.79426,7.6979,6.7086
2011-02-22,157.494319,105.479571,50.503219,49.436771,0.636853,0.0,4.902728,51.675963,11.1974,35.733057,4.745506,0.338784,4.4573,4.0464
2011-02-23,154.558555,82.691724,66.137707,11.06383,0.690245,0.0,4.799941,71.335764,20.8683,45.764369,4.703095,0.531067,5.4652,5.8696
2011-02-24,155.672745,74.431942,65.217381,3.526469,0.803054,0.0,4.885038,80.504445,21.7454,54.149259,4.609786,0.736358,2.9816,5.8812
2011-02-25,164.753067,83.920621,68.300324,9.713498,0.801205,0.0,5.105593,80.832446,22.5483,53.58571,4.698436,0.0,2.528,17.9552
2011-02-26,140.187506,87.870351,50.68976,30.785147,0.504075,0.0,5.89137,51.464114,4.5837,44.3131,2.567314,0.853041,1.2525,9.3965
2011-02-27,115.470804,90.319259,47.380196,35.699921,0.789418,0.0,6.449724,23.608355,-0.4883,22.394191,1.702464,1.54319,8.6537,0.5493
2011-02-28,134.308531,92.439577,48.001767,37.391473,0.829225,0.0,6.217111,40.372081,-0.4483,35.900973,4.919408,1.496873,16.8607,0.3392
2011-03-01,142.628813,88.397479,54.174219,26.940309,0.833503,0.0,6.449447,53.647146,4.2351,44.366275,5.045771,0.584188,13.6181,1.709
2011-03-02,144.407925,85.177292,54.506928,23.631838,0.776269,0.0,6.262257,58.44359,5.278,48.329468,4.836122,0.787043,14.2016,1.5501
2011-03-03,162.312564,89.833543,57.108488,25.533504,0.708453,0.0,6.483099,72.479021,16.0312,51.413434,5.034387,0.0,4.8624,11.2063
2011-03-04,172.332853,94.35705,58.690661000000006,28.09676,0.490104,0.0,7.079525,76.7923,21.1684,50.673534,4.950367,1.183502,3.2991,17.0566
2011-03-05,176.375695,116.6643,55.523610000000005,53.459386,0.336911,0.0,7.344393,59.633275,12.7208,44.144945,2.76753,0.07812,0.0,35.1501
2011-03-06,154.814149,96.225356,50.933718999999996,37.33493,0.564174,0.0,7.392533,57.876247,12.81349,43.244504,1.818253,0.712546,0.0,24.5383
2011-03-07,170.53418,92.504037,51.183676999999996,33.470083,0.704541,0.0,7.145737,77.246125,13.9459,58.77292,4.527305,0.784018,0.7638,28.2203
2011-03-08,145.036863,93.774259,39.304133,47.041205,0.151899,0.0,7.277022,50.188046,15.5126,30.100926,4.574521,1.074558,1.073,12.1526
2011-03-09,177.525738,103.116521,51.235487,44.529292,0.410398,0.0,6.941344,69.154978,12.4573,52.482309,4.215369,5.254239,2.0979,25.42
2011-03-10,171.091751,89.035132,52.587058999999996,29.815405,0.448164,0.0,6.184504,80.600667,18.5226,58.255871,3.822196,1.455952,0.3396,21.329
2011-03-11,165.348937,88.48206,50.289664,31.313938,0.128226,0.0,6.750231,76.623275,17.3321,54.634579,4.656596,0.243603,2.6557,15.326
2011-03-12,140.230649,67.947691,47.596162,12.410719,0.391246,0.0,7.549564,71.305747,13.4316,55.402259,2.471888,0.977211,5.6951,11.1614
2011-03-13,126.021665,63.546879,44.706271,11.097512,0.298859,0.0,7.444237,61.875286,7.94,52.279892,1.655395,0.5995,9.1853,8.5357
2011-03-14,165.525612,76.783424,49.544384,19.917662,0.125597,0.0,7.195781,88.031422,19.6011,63.967899,4.462423,0.710766,5.6036,17.2006
2011-03-15,171.428866,88.161433,56.651025,23.492661,0.737268,0.0,7.280479,82.337504,16.8564,61.047971,4.433133,0.929929,3.2083,20.3472
2011-03-16,128.143164,87.590447,39.489571,40.497733,0.728337,0.0,6.874806,39.297212,9.09895,25.877083,4.321179,1.255504,29.5253,0.0
