"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
14469293,1476,88959838,"Private room",NA,"Amsterdam",NA,"Oostelijk Havengebied / Indische Buurt",42,4,3,1,NA,119,NA,"Big room with private kitchen","2017-07-22 16:26:21.560733",52.361149,4.939653,"0101000020E6100000685A626534C21340D6FD63213A2E4A40"
2451106,1476,1794617,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",11,4.5,3,2,NA,132,NA,"Ideal for 2-3 people.Perfect location!","2017-07-22 20:36:57.853984",52.360438,4.859347,"0101000020E6100000B0A9F3A8F86F13402A1E17D5222E4A40"
7061216,1476,33891982,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",7,5,4,2,NA,289,NA,"2 bedroom apartment in Amsterdam","2017-07-23 03:45:26.046154",52.375613,4.900077,"0101000020E6100000F486FBC8AD991340EA79371614304A40"
1733772,1476,9133729,"Entire home/apt",NA,"Amsterdam",NA,"Oud Noord",46,4.5,2,1,NA,240,NA,"HOUSEBOAT IN NATURE 15 MIN FROM CS!","2017-07-23 02:59:13.016771",52.387442,4.94069,"0101000020E61000006CB2463D44C31340658C0FB397314A40"
10379281,1476,30781750,"Entire home/apt",NA,"Amsterdam",NA,"Noord West",7,5,2,1,NA,216,NA,"Moderne woonark in stad en natuur","2017-07-23 02:59:21.804016",52.421015,4.89361,"0101000020E6100000A583F57F0E9313400E10CCD1E3354A40"
16849753,1476,112210771,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",1,0,2,1,NA,119,NA,"Modern and Luxurious Apt with Garden in West","2017-07-22 17:48:55.608664",52.376229,4.8731,"0101000020E6100000E78C28ED0D7E13404567994528304A40"
1566348,1476,8331415,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",23,5,2,1,NA,124,NA,"Nice apartment close to city center","2017-07-22 18:10:11.150831",52.371456,4.854782,"0101000020E610000080D6FCF84B6B134095F3C5DE8B2F4A40"
16153901,1476,29027360,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",4,5,2,1,NA,144,NA,"Small cozy apartment!","2017-07-22 20:14:16.221613",52.364522,4.852412,"0101000020E61000002FDFFAB0DE68134015562AA8A82E4A40"
13604008,1476,46691672,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",7,5,4,2,NA,180,NA,"Wonderful 2BR APT @ Vondelpark with private garden","2017-07-22 23:25:17.896107",52.357982,4.86083,"0101000020E6100000A8A9656B7D7113404147AB5AD22D4A40"
2122545,1476,10823862,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",0,0,2,1,NA,96,NA,"Beautiful apartment, next to Vondelpark and center","2017-07-22 17:29:12.760154",52.361663,4.866372,"0101000020E610000032AEB8382A7713402D9622F94A2E4A40"
